Food Item,Meat Type,Amount (oz)
Burger (Beef),Beef,4
Steak,Beef,6
Roast Beef,Beef,4
Beef (1 Serving),Beef,4
Hot Dog,Pork,4
Pulled Pork,Pork,3
Pork Chops,Pork,5
Ham,Pork,3
Pork (1 Serving),Pork,4
Lamb (1 Serving),Lamb,4
Chicken Fingers,Chicken,4
Salad (Chicken),Chicken,4
Chicken Breast,Chicken,4
Chicken Wings,Chicken,5
Chicken (1 Serving),Chicken,3
Turkey Cold Cuts,Turkey,4
Turkey (1 Serving),Turkey,4
Lasagne (Beef),Beef,
Meat Loaf,Beef,
Stew (Beef),Beef,
Stew (Chicken),Chicken,
Pasta Bolognese,Beef,
Sandwich (Beef),Beef,
Sandwich (Chicken),Chicken,
Sandwich (Pork),Pork,
Sandwich (Turkey),Turkey,
Salad (Steak),Beef,
Kebab (Chicken),Chicken,
Kebab (Beef),Beef,
Kebab (Lamb),Lamb,
Burger (Pork),Pork,
Burger (Chicken),Chicken,
Lasagne (Chicken),Chicken,
Stew (Lamb),Lamb,
Pasta (Chicken),Chicken,
Schnitzel (Beef),Beef,
Schnitzel (Chicken),Chicken,
Schnitzel (Pork),Pork,
Bacon,Pork,
Jerkey,Beef,
Ribs (Beef),Beef,
Ribs (Pork),Pork,
Pie (Chicken),Chicken,
Pie (Pork),Pork,
Pie (Steak),Steak,
Pie (Mince),Beef,
Pie (Lamb),Lamb,
Pizza (Mince),Beef,
Pizza (Steak),Steak,
Pizza (Chicken),Chicken,
Pizza (Ham),Pork,
Pizza (Pork),Pork,
Pizza (Bacon),Pork,
Burrito (Chicken),Chicken,
Burrito (Beef),Beef,
Stirfry (Beef),,
Enchilada (Beef),,
Quesadilla (Chicken),,
Taco (Chicken),,
Nachos (Beef),,
Noodles (Chicken),,
Chops (Lamb),,
Stirfry (Chicken),,
Stirfry (Beef),,
Enchilada (Chicken),,
Quesadilla (Beef),,
Taco (Beef),,
Samosa (Chicken),,
Samosa (Beef),,
Samosa (Lamb),,
Nachos (Chicken),,
Noodles (Beef),,
Noodles (Pork),,
Stirfry (Pork),,
